"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","WEEK #09","2017-03-05","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2017","WEEK #10","2017-03-12","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #10","2017-03-12","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2017","WEEK #10","2017-03-12","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2017","WEEK #10","2017-03-12","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2017","WEEK #11","2017-03-19","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2017","WEEK #11","2017-03-19","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2017","WEEK #11","2017-03-19","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2017","WEEK #11","2017-03-19","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2017","WEEK #12","2017-03-26","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","19",""
"SURVEY","2017","WEEK #12","2017-03-26","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2017","WEEK #12","2017-03-26","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","80",""
"SURVEY","2017","WEEK #12","2017-03-26","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2017","WEEK #12","2017-03-26","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","45",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","LOUISIANA","22","","","","","","","00000000","","SOYBEANS","SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","MISSISSIPPI","28","","","","","","","00000000","","SOYBEANS","SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","21",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","56",""
"SURVEY","2017","WEEK #13","2017-04-02","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
