"screenName","text","id","date","DOY","week","state","state.abb","replant"
"Adam_Heskett","Nebraska - 4 weeks till #RMA Earliest Planting Dates for replant coverage in Corn. Is your plan ready? #plant17","841371840761208834",2017-03-13,72,11,"Nebraska","NE",TRUE
"CropInsurer","Corn #Plant17 is ending for some here. #Soybean initial plant date is 4/25 in Nebraska.  Replant coverage is forfeiâ€¦","855445760871198720",2017-04-21,111,16,"Nebraska","NE",TRUE
"TopThird","After the Midwest hurricane hits  could we hit 118% #corn planted when it's all said and done?   #Replant17 #BasicMath","856956205788430340",2017-04-25,115,17,"Illinois","IL",TRUE
"Byrne_Invest","#plant17 Southern Midwest flooding means corn needs to be replanted.  Rain  snow  cold for wheat while heading.  Stay long the coarse grains","857233663393660928",2017-04-26,116,17,"Ohio","OH",TRUE
"mjwiegand","S. Gage Co. #Nebraska 2.00 to 4.30 of rain  80% done with #corn #plant17  early stands good but yellow  seed dealers short of replant seed","859056353331093505",2017-05-01,121,18,"Nebraska","NE",TRUE
"mjwiegand","N. Gage Co. #Nebraska 1.30 to 4.30 of #rain  emerged #corn looks fine  later #plant17 will likely be #replant17","859065868474609664",2017-05-01,121,18,"Nebraska","NE",TRUE
"nicolemheslip","#Indiana #farmer says #corn #plant17 will need to be replanted after #flooding @INCornFarmers @brownfield #agnews","859066448462958592",2017-05-01,121,18,"Indiana","IN",TRUE
"BRNAgNews_NH","#Indiana #farmer says #corn #plant17 will need to be replanted after #flooding @INCornFarmers @brownfield #agnews","859066448475508736",2017-05-01,121,18,"Indiana","IN",TRUE
"FarmWeekNow","#Corn #planting 63% complete in #Illinois  16% ahead of avg. Question is  how much will have to be replanted? #Plant17 #RePlant17","859136213592268800",2017-05-01,121,18,"Illinois","IL",TRUE
"cornoptions1","How much of the 34% planted has to be replanted ? #corn #plant17","859147296025530368",2017-05-01,121,18,"Illinois","IL",TRUE
"farm33","Corn is sprouting under that water 2-3 more inches predicted #plant17  hopefully not #replant17","858339730458632194",2017-04-29,119,17,"Missouri","MO",TRUE
"mjwiegand","Adams Co. #Nebraska #replant17 for #corn decisions won't be made until next week  #soybeans #plant17 will start once dry.","859451853456764928",2017-05-02,122,18,"Nebraska","NE",TRUE
"misslajo","So don't write off this #corn crop just yet #replant17 #plant17 #turnaroundtuesday","859458248784703488",2017-05-02,122,18,"Ohio","OH",TRUE
"GeoffreyRuth","@MIZZOUinNE @vrbka_corey Pic of #Corn planted Apr. 13 on Polk/Butler Co. line. May consider replanting. The corn plâ€¦","859596911895957505",2017-05-03,123,18,"Nebraska","NE",TRUE
"mjwiegand","Atchison Co. #Missouri #corn 10% emerged stands good  no #replant17 needed so far  #soybeans #plant17 50% complete 2.5 of rain on weekend","859768959809318912",2017-05-03,123,18,"Missouri","MO",TRUE
"croptechcafe","Repeat of last year? Monitor #corn emergence &amp; prepare to make replant decision. Watch  listen  read atâ€¦","860148013041418240",2017-05-04,124,18,"Nebraska","NE",TRUE
"OhioAgNetTy","Where in the world did 4% of #corn get #plant17 in Ohio last week? Now at 46% My guess is more like 40% with #replant17 factor. Beans at 16%","861673285628698626",2017-05-08,128,19,"Ohio","OH",TRUE
"NatlFarmers","The #plant17 window continues this week in the western Corn Belt and N. Plains. The ECB and S. Midwest are struggling to plant/replant.","861938432616136704",2017-05-09,129,19,"Iowa","IA",TRUE
"Channel_Mich","We've got 99 problems but #corn #replant isn't 1. #plant17 lagging on most crops up here! Clear weather may get usâ€¦","861958247187714050",2017-05-09,129,19,"Michigan","MI",TRUE
"GiereJim","Corn that was planted before rain looks tough but thinking it will make it. Hold off on pulling trigger on replant #plant17","862319411348328449",2017-05-10,130,19,"Ohio","OH",TRUE
"leroyfertilizer","Corn Replanting and Herbicide Considerations | The Bulletin #plant17","862444640166871040",2017-05-10,130,19,"Illinois","IL",TRUE
"SodBuster5","@precision_plant  #plant17  sweet corn and #replant17 corn  John Deere 7000 two row  Precision units has been addedâ€¦","862780678336897024",2017-05-11,131,19,"Indiana","IN",TRUE
"Pioneer_IL","Helpful tips on #corn stand evaluation and replant decisions. #plant17 #agronomy","863364451826896897",2017-05-13,133,19,"Illinois","IL",TRUE
"FarmingBD","Making a replant decision on corn is about as much fun as diarrhea at Worlds Of Fun!!#replant17 or #plant17","864216936871317504",2017-05-15,135,20,"Missouri","MO",TRUE
"BRNAgNews_Mark","Last year  SW #Minnesota farmer @mbooms replanted #corn 4 times &amp; wet #plant17 has renewed fears of repeat  #agnews","864587276197781504",2017-05-16,136,20,"Minnesota","MN",TRUE
"mjwiegand","Saline Co. #Nebraska 1.0 of #rain last night  some wind but no apparent damage  #plant17 completed yesterday  some #corn #replant17 patches","864845130255269889",2017-05-17,137,20,"Nebraska","NE",TRUE
"CraryAg","#soybeans #corn #Plant17 #replant #frost","865206863935266816",2017-05-18,138,20,"North Dakota","ND",TRUE
"mjwiegand","Richardson Co. #Nebraska some light #preplant17 need on #corn  but most stands good  #soybeans 75% done with #plant17","865238057519329281",2017-05-18,138,20,"Nebraska","NE",TRUE
"WiscCorn","Corn Replant Decisions â€“ Some Tips to Consider. See  #Corn #Plant17","865246920389918721",2017-05-18,138,20,"Wisconsin","WI",TRUE
"mjwiegand","Sherman Co. #Kansas #wheat is officially zeroed out from hail  probably won't be replanted to anything  far to muddy for #corn #plant17 now","865607512590086144",2017-05-19,139,20,"Kansas","KS",TRUE
"sstewardag","I know many people been busy with #plant17 &amp; #replant17 but keep an eye on local cash prices regarding unpriced inventories #corn #soybeans","865662020623806464",2017-05-19,139,20,"Tennessee","TN",TRUE
"SIKing92","Corn #plant17 and #replant17 done! Time to switch planter over and start beans next week.","866075512690679808",2017-05-20,140,20,"Maryland","MD",TRUE
"HarvestTrader","Poll for Sunday night Monday trade in #corn #plant17 #replant17","866339567686881280",2017-05-21,141,20,"Iowa","IA",TRUE
"scottfamilyfarm","God son ask during a truck ride today. ""What's wrong with that pond?"" My response ""That's a corn field""!! #replant17  #corn17  í ¼í¼½ â›µ â›µ","866465896331661312",2017-05-22,142,21,"Minnesota","MN",TRUE
