"week","tweets","tweets.cum","date","state.abb","Commodity","progress.NASS","tweets.tot","tweets.fit","fit.deriv2","diff.first","diff.second","fit.spline","fit.spline.deriv1","fit.spline.deriv2","tweets.cum.sub","progress.twitter","crop","wk.buffer.start","wk.buffer.end","method"
15,0,6,2017-04-16,"CO","CORN",1,36,6.1622116441783,0.855010115276508,2,0,6.50874124682593,2.71787041785197,0.760338914150066,0,0,"corn",0,0,"logistic"
16,4,10,2017-04-23,"CO","CORN",8,36,9.17528091610392,0.853204002338645,4,2,9.57878704763792,3.39422710965699,0.592374469459977,4,17.3913043478261,"corn",0,0,"logistic"
17,2,12,2017-04-30,"CO","CORN",16,36,13.0188026827603,0.585429879084477,2,-2,13.2659966841334,3.97698745544254,0.573146222111115,6,26.0869565217391,"corn",0,0,"logistic"
18,5,17,2017-05-07,"CO","CORN",29,36,17.4264208881821,0.0729280444750903,5,3,17.4521148053882,4.31780634182357,0.108491550650952,11,47.8260869565217,"corn",0,0,"logistic"
19,6,23,2017-05-14,"CO","CORN",53,36,21.9039854912733,-0.473505598681344,6,1,21.7202212743718,4.11446094797827,-0.515182338341541,17,73.9130434782609,"corn",0,0,"logistic"
20,3,26,2017-05-21,"CO","CORN",69,36,25.9261242998855,-0.813190895760474,3,-3,25.5481868997759,3.51256614942663,-0.688607258761753,20,86.9565217391304,"corn",0,0,"logistic"
21,3,29,2017-05-28,"CO","CORN",89,36,29.1590278330978,-0.874409096497166,3,0,28.7139551991716,2.81647622871464,-0.703572582662224,23,100,"corn",0,0,"logistic"
14,NA,4,2017-04-09,"CO","CORN",0,36,3.99137713206746,0.70304421691485,2,2,4.16915802959649,1.96317827305943,0.749045375435014,NA,0,"corn",0,0,"logistic"
22,NA,31,2017-06-04,"CO","CORN",93,36,31.5331809464722,-0.74879592756086,2,-1,31.1929286750133,2.15575426142685,-0.617871351913356,NA,100,"corn",0,0,"logistic"
23,NA,33,2017-06-11,"CO","CORN",96,36,33.1635364491376,-0.560319820132192,2,0,33.0427141773261,1.54678366004154,-0.600069850857262,NA,100,"corn",0,0,"logistic"
15,0,6,2017-04-16,"CO","CORN",1,36,6.1622116441783,0.855010115276508,2,0,6.50874124682593,2.71787041785197,0.760338914150066,0,0,"corn",0,0,"spline"
16,4,10,2017-04-23,"CO","CORN",8,36,9.17528091610392,0.853204002338645,4,2,9.57878704763792,3.39422710965699,0.592374469459977,4,17.3913043478261,"corn",0,0,"spline"
17,2,12,2017-04-30,"CO","CORN",16,36,13.0188026827603,0.585429879084477,2,-2,13.2659966841334,3.97698745544254,0.573146222111115,6,26.0869565217391,"corn",0,0,"spline"
18,5,17,2017-05-07,"CO","CORN",29,36,17.4264208881821,0.0729280444750903,5,3,17.4521148053882,4.31780634182357,0.108491550650952,11,47.8260869565217,"corn",0,0,"spline"
19,6,23,2017-05-14,"CO","CORN",53,36,21.9039854912733,-0.473505598681344,6,1,21.7202212743718,4.11446094797827,-0.515182338341541,17,73.9130434782609,"corn",0,0,"spline"
20,3,26,2017-05-21,"CO","CORN",69,36,25.9261242998855,-0.813190895760474,3,-3,25.5481868997759,3.51256614942663,-0.688607258761753,20,86.9565217391304,"corn",0,0,"spline"
21,3,29,2017-05-28,"CO","CORN",89,36,29.1590278330978,-0.874409096497166,3,0,28.7139551991716,2.81647622871464,-0.703572582662224,23,100,"corn",0,0,"spline"
14,NA,4,2017-04-09,"CO","CORN",0,36,3.99137713206746,0.70304421691485,2,2,4.16915802959649,1.96317827305943,0.749045375435014,NA,0,"corn",0,0,"spline"
22,NA,31,2017-06-04,"CO","CORN",93,36,31.5331809464722,-0.74879592756086,2,-1,31.1929286750133,2.15575426142685,-0.617871351913356,NA,100,"corn",0,0,"spline"
23,NA,33,2017-06-11,"CO","CORN",96,36,33.1635364491376,-0.560319820132192,2,0,33.0427141773261,1.54678366004154,-0.600069850857262,NA,100,"corn",0,0,"spline"
15,0,6,2017-04-16,"CO","CORN",1,36,6.1622116441783,0.855010115276508,2,0,6.50874124682593,2.71787041785197,0.760338914150066,0,0,"corn",0,1,"logistic"
16,4,10,2017-04-23,"CO","CORN",8,36,9.17528091610392,0.853204002338645,4,2,9.57878704763792,3.39422710965699,0.592374469459977,4,16,"corn",0,1,"logistic"
17,2,12,2017-04-30,"CO","CORN",16,36,13.0188026827603,0.585429879084477,2,-2,13.2659966841334,3.97698745544254,0.573146222111115,6,24,"corn",0,1,"logistic"
18,5,17,2017-05-07,"CO","CORN",29,36,17.4264208881821,0.0729280444750903,5,3,17.4521148053882,4.31780634182357,0.108491550650952,11,44,"corn",0,1,"logistic"
19,6,23,2017-05-14,"CO","CORN",53,36,21.9039854912733,-0.473505598681344,6,1,21.7202212743718,4.11446094797827,-0.515182338341541,17,68,"corn",0,1,"logistic"
